name,lat,lon
ANDALUSIA HEALTH,31.295795330000033,-86.49454910999998
ATHENS LIMESTONE HOSPITAL,34.80416393000007,-86.97840720999994
ATMORE COMMUNITY HOSPITAL,31.01702387000006,-87.47879850999999
BAPTIST MEDICAL CENTER EAST,32.37639950000005,-86.17493001999998
BAPTIST MEDICAL CENTER SOUTH,32.32815395000006,-86.27754934999996
BAYPOINTE BEHAVIORAL HEALTH,30.624808490000078,-88.17800812999997
BEACONS CHILDREN'S HOSPITAL,31.69458855000005,-86.26319150999996
BIBB MEDICAL CENTER,32.95135837000004,-87.14831122999999
BROOKWOOD BAPTIST MEDICAL CENTER,33.464259930000026,-86.77666509999995
BRYCE HOSPITAL,33.21630309000005,-87.53815801999997
BULLOCK COUNTY HOSPITAL,32.146635110000034,-85.71700932999994
CENTRAL ALABAMA VETERANS HEALTH CARE SYSTEM EAST CAMPUS,32.44521832000004,-85.71214860999999
CHILDREN'S HOSPITAL OF ALABAMA,33.504048150000074,-86.80515913999994
CHOCTAW GENERAL HOSPITAL,32.09310534000008,-88.20949243999996
CITIZENS BAPTIST MEDICAL CENTER,33.440276820000065,-86.09078339999996
CLAY COUNTY HOSPITAL,33.27756394000005,-85.82398277999994
"COMMUNITY HOSPITAL, INC",32.53390983000003,-85.91224660999995
COOSA VALLEY MEDICAL CENTER,33.16456023000006,-86.25548757999996
CRENSHAW COMMUNITY HOSPITAL,31.69354407000003,-86.26504569999997
CRESTWOOD MEDICAL CENTER,34.693611400000066,-86.57217153999994
CROSSBRIDGE BEHAVIORAL HEALTH A BAPTIST SOUTH FACILITY,32.32346327000005,-86.28134482999997
CULLMAN REGIONAL MEDICAL CENTER,34.20132720000004,-86.80572956999998
D. W. MCMILLAN MEMORIAL HOSPITAL,31.12703391000008,-87.07349929999998
DALE MEDICAL CENTER,31.451576660000057,-85.63208803999999
DCH REGIONAL MEDICAL CENTER,33.20482053000006,-87.52741946999998
