zip,median_hh_income
00601,18571.0
00602,21702.0
00603,19243.0
00606,20226.0
00610,23732.0
00611,22566.0
00612,23831.0
00616,21391.0
00617,22010.0
00622,26682.0
00623,25614.0
00624,21091.0
00627,26094.0
00631,18295.0
00636,
00637,20665.0
00638,20878.0
00641,17839.0
00646,33184.0
00647,20357.0
00650,19811.0
00652,31653.0
00653,15225.0
00656,21511.0
00659,27297.0
00660,24829.0
00662,20673.0
00664,18065.0
00667,18729.0
00669,19198.0
00670,16278.0
00674,20039.0
00676,21230.0
00677,24746.0
00678,22994.0
00680,17857.0
00682,18067.0
00683,18231.0
00685,17909.0
00687,23010.0
00688,18014.0
00690,24386.0
00692,25486.0
00693,24072.0
00694,15938.0
00698,21921.0
00703,22147.0
00704,23330.0
00705,21806.0
00707,19173.0
00714,18931.0
00715,15743.0
00716,19522.0
00717,13282.0
00718,21481.0
00719,21089.0
00720,19049.0
00723,23599.0
00725,27505.0
00727,33403.0
00728,20351.0
00729,28765.0
00730,18077.0
00731,16917.0
00735,23009.0
00736,28652.0
00738,25365.0
00739,26801.0
00740,23173.0
00741,25827.0
00745,26980.0
00751,20947.0
00754,21193.0
00757,23350.0
00765,17531.0
00766,24906.0
00767,21414.0
00769,20514.0
00771,25662.0
00772,18408.0
00773,23769.0
00775,27614.0
00777,28175.0
00778,39564.0
00780,26483.0
00782,17090.0
00783,24429.0
00784,20347.0
00786,
00791,25925.0
00794,22128.0
00795,23391.0
00901,25810.0
00906,
00907,42116.0
00909,26066.0
00911,44008.0
00912,29418.0
00913,6229.0
00915,14502.0
00917,19516.0
00918,36872.0
00920,29914.0
00921,21797.0
00923,18482.0
00924,22433.0
00925,14940.0
00926,39543.0
00927,39838.0
00934,
00949,33380.0
00950,
00951,22222.0
00952,21960.0
00953,33888.0
00956,28674.0
00957,29663.0
00959,31400.0
00960,
00961,37015.0
00962,20134.0
00965,16516.0
00966,56421.0
00968,60353.0
00969,58205.0
00971,32098.0
00976,38087.0
00979,35521.0
00982,26550.0
00983,33930.0
00985,35012.0
00987,40295.0
01001,71924.0
01002,69411.0
01003,
01005,97390.0
01007,99056.0
01008,90625.0
01009,70763.0
01010,101477.0
01011,87012.0
01012,75526.0
01013,64039.0
01020,70971.0
01022,56307.0
01026,98438.0
01027,73657.0
01028,100997.0
01029,99188.0
01030,92485.0
01031,58125.0
01032,79583.0
01033,110188.0
01034,103603.0
01035,117580.0
01036,110703.0
01037,84022.0
01038,112083.0
01039,115114.0
01040,51892.0
01050,96328.0
01053,88646.0
01054,113750.0
01056,78981.0
01057,90436.0
01060,75077.0
01062,87800.0
01063,250001.0
01066,
01068,96207.0
01069,79725.0
01070,72083.0
01071,107292.0
01072,103188.0
01073,125534.0
01074,76859.0
01075,93646.0
01077,108833.0
01079,
01080,87188.0
01081,87337.0
01082,71023.0
01083,92558.0
01084,91667.0
01085,83821.0
01088,53472.0
01089,70401.0
01092,70938.0
01093,
01094,109000.0
01095,124682.0
01096,105729.0
01097,
01098,93000.0
01103,21458.0
01104,47530.0
01105,22994.0
01106,143961.0
01107,31969.0
01108,51851.0
01109,46821.0
01118,80906.0
01119,59172.0
01128,92125.0
01129,92500.0
01144,
01151,57113.0
01201,68879.0
01220,56285.0
01222,84583.0
01223,82773.0
01224,
01225,72028.0
01226,81168.0
01229,
01230,82871.0
01235,76699.0
01236,91172.0
01237,84419.0
01238,74469.0
01240,99745.0
01242,
01243,89063.0
01244,59655.0
01245,113750.0
01247,55544.0
01253,108068.0
01254,113304.0
01255,85417.0
01256,55000.0
01257,80227.0
01258,127813.0
01259,125795.0
01260,
01262,142679.0
01264,85313.0
01266,98828.0
01267,98750.0
01270,104961.0
01301,54347.0
01330,81691.0
01331,68345.0
01337,79274.0
01338,
01339,72841.0
01340,82578.0
01341,93250.0
01342,100917.0
01343,84271.0
01344,74550.0
01346,111150.0
01347,72500.0
01349,69712.0
01350,64375.0
01351,99375.0
01354,90000.0
01355,80327.0
01360,102470.0
01364,54061.0
01366,107656.0
01367,89375.0
01368,101875.0
01370,76715.0
01373,102578.0
01375,61442.0
01376,57857.0
01378,95000.0
01379,68750.0
01380,70893.0
01420,70334.0
01430,115146.0
01431,110536.0
01432,105142.0
01434,109651.0
01436,88421.0
01438,
01440,63526.0
01450,189355.0
01451,206607.0
01452,102344.0
01453,82098.0
01460,146250.0
01462,109884.0
01463,126824.0
01464,121875.0
01468,110938.0
01469,113162.0
01473,101161.0
01474,130156.0
01475,85638.0
01501,101929.0
01503,122411.0
01504,98986.0
01505,124732.0
01506,71875.0
01507,119809.0
01510,93849.0
01515,76382.0
01516,147859.0
01518,111193.0
01519,153750.0
01520,147582.0
01521,86806.0
01522,118824.0
01523,130444.0
01524,93191.0
01525,
01527,116000.0
01529,115789.0
01531,99375.0
01532,174358.0
01534,134539.0
01535,81010.0
01536,105795.0
01537,94261.0
01540,118389.0
01541,150577.0
01542,107674.0
01543,155504.0
01545,136225.0
01550,59397.0
01560,98884.0
01561,
01562,79086.0
01564,136027.0
01566,135802.0
01568,161429.0
01569,122458.0
01570,68934.0
01571,85179.0
01581,134474.0
01583,100427.0
01585,70753.0
01588,88735.0
01590,155938.0
01602,94351.0
01603,63646.0
01604,72911.0
01605,54805.0
01606,92537.0
01607,66365.0
01608,45962.0
01609,61411.0
01610,43757.0
01611,118389.0
01612,133750.0
01701,127000.0
01702,78784.0
01718,125972.0
01719,151000.0
01720,154101.0
01721,127106.0
01730,158286.0
01731,101194.0
01740,198475.0
01741,250001.0
01742,211435.0
01745,180833.0
01746,154684.0
01747,115216.0
01748,204418.0
01749,107202.0
01752,95047.0
01754,119549.0
01756,129837.0
01757,92951.0
01760,134644.0
01770,247500.0
01772,196680.0
01773,197292.0
01775,177862.0
01776,234634.0
01778,219531.0
01801,107754.0
01803,142421.0
01810,167591.0
01821,142564.0
01824,141337.0
01826,111451.0
01827,202379.0
01830,79784.0
01832,81141.0
01833,153565.0
01834,135521.0
01835,108275.0
01840,34630.0
01841,54525.0
01843,72163.0
01844,103292.0
01845,134319.0
01850,67581.0
01851,87962.0
01852,77058.0
01854,70397.0
01860,116477.0
01862,131214.0
01863,136284.0
01864,150820.0
01867,163407.0
01876,126795.0
01879,144167.0
01880,130419.0
01886,181523.0
01887,161473.0
01890,218176.0
01901,27561.0
01902,66755.0
01904,100597.0
01905,84341.0
01906,100819.0
01907,127714.0
01908,111004.0
01913,100599.0
01915,102347.0
01921,190526.0
01922,179896.0
01923,117072.0
01929,151509.0
01930,87898.0
01937,
01938,124405.0
01940,171044.0
01944,197875.0
01945,164325.0
01949,171458.0
01950,144259.0
01951,175779.0
01952,102521.0
01960,95173.0
01965,250001.0
01966,93227.0
01969,117177.0
01970,85189.0
01982,127137.0
01983,176698.0
01984,187652.0
01985,189048.0
02019,120966.0
02021,128341.0
02025,187060.0
02026,124375.0
02030,250001.0
02032,180100.0
02035,108559.0
02038,142788.0
02043,181017.0
02045,127112.0
02047,151000.0
02048,131409.0
02050,125436.0
02052,214801.0
02053,174357.0
02054,149021.0
02056,197379.0
02061,182637.0
02062,97110.0
02066,131889.0
02067,183724.0
02071,207878.0
02072,104164.0
02081,150233.0
02090,205000.0
02093,147930.0
02108,212664.0
02109,177500.0
02110,132239.0
02111,70865.0
02113,110321.0
02114,135057.0
02115,53398.0
02116,127309.0
02118,90142.0
02119,43255.0
02120,61472.0
02121,38565.0
02122,82945.0
02124,79168.0
02125,71810.0
02126,67206.0
02127,156373.0
02128,92079.0
02129,157192.0
02130,130533.0
02131,109237.0
02132,139545.0
02133,
02134,75317.0
02135,88208.0
02136,96862.0
02138,122040.0
02139,124648.0
02140,136382.0
02141,120542.0
02142,168788.0
02143,126102.0
02144,140591.0
02145,119167.0
02148,95298.0
02149,79658.0
02150,72122.0
02151,80948.0
02152,106357.0
02155,118403.0
02163,74028.0
02169,92080.0
02170,101840.0
02171,104992.0
02176,126854.0
02180,112635.0
02184,125305.0
02186,177222.0
02188,102236.0
02189,91842.0
02190,99024.0
02191,116496.0
02199,118367.0
02203,
02205,
02210,178833.0
02215,65827.0
02301,72727.0
02302,87560.0
02322,129487.0
02324,112445.0
02325,
02330,78955.0
02332,171471.0
02333,128679.0
02338,106851.0
02339,174821.0
02341,112457.0
02343,107198.0
02346,91914.0
02347,126182.0
02350,86023.0
02351,119787.0
02356,124719.0
02357,
02359,141332.0
02360,111975.0
02364,115863.0
02366,
02367,119750.0
02368,103321.0
02370,101475.0
02375,117717.0
02379,124483.0
02382,107794.0
02420,233068.0
02421,212843.0
02445,145878.0
02446,127519.0
02451,119509.0
02452,112902.0
02453,114029.0
02457,
02458,151782.0
02459,214941.0
02460,154329.0
02461,207292.0
02462,210682.0
02464,125846.0
02465,174518.0
02466,170852.0
02467,173854.0
02468,250001.0
02472,123383.0
02474,139199.0
02476,145150.0
02478,177790.0
02481,250001.0
02482,240069.0
02492,222063.0
02493,250001.0
02494,173750.0
02532,89411.0
02534,171169.0
02535,144833.0
02536,95295.0
02537,131150.0
02538,110882.0
02539,89710.0
02540,88266.0
02542,55000.0
02543,73611.0
02553,
02554,125524.0
02556,133929.0
02557,95287.0
02558,58594.0
02559,88698.0
02561,
02562,141324.0
02563,117558.0
02564,
02568,93615.0
02571,87302.0
02575,181304.0
02576,61735.0
02584,
02601,62989.0
02630,137875.0
02631,93427.0
02632,121295.0
02633,94036.0
02635,118295.0
02637,218165.0
02638,117619.0
02639,64051.0
02641,
02642,72683.0
02643,
02644,105000.0
02645,89898.0
02646,74276.0
02647,
02648,131125.0
02649,95852.0
02650,65982.0
02652,
02653,98798.0
02655,100927.0
02657,104500.0
02659,87368.0
02660,91449.0
02663,
02664,78796.0
02666,111344.0
02667,115469.0
02668,108042.0
02670,89875.0
02671,101917.0
02672,
02673,73846.0
02675,111555.0
02702,145324.0
02703,93352.0
02713,78750.0
02715,137500.0
02717,143281.0
02718,107570.0
02719,92500.0
02720,62907.0
02721,50666.0
02723,41789.0
02724,49809.0
02725,127228.0
02726,110427.0
02738,120227.0
02739,117308.0
02740,54563.0
02743,90683.0
02744,54841.0
02745,73154.0
02746,41023.0
02747,97665.0
02748,105455.0
02760,109350.0
02762,95625.0
02763,109970.0
02764,140135.0
02766,127404.0
02767,119550.0
02769,126161.0
02770,119164.0
02771,116310.0
02777,116627.0
02779,123877.0
02780,75054.0
02790,100617.0
02791,104712.0
02802,125522.0
02804,101392.0
02806,150542.0
02807,72450.0
02808,94712.0
02809,96005.0
02812,111711.0
02813,103147.0
02814,109632.0
02815,209050.0
02816,97941.0
02817,137485.0
02818,120952.0
02822,87185.0
02823,
02824,158438.0
02825,110177.0
02826,75347.0
02827,135139.0
02828,94746.0
02829,
02830,121611.0
02831,135106.0
02832,101225.0
02833,
02835,141442.0
02836,
02837,129750.0
02838,82075.0
02839,100906.0
02840,83515.0
02841,
02842,97650.0
02852,112457.0
02857,108813.0
02858,92016.0
02859,118662.0
02860,59954.0
02861,83044.0
02863,45921.0
02864,118737.0
02865,117042.0
02871,119135.0
02872,132969.0
02873,
02874,155099.0
02875,88469.0
02876,33008.0
02878,99542.0
02879,115848.0
02881,
02882,95794.0
02885,89722.0
02886,91037.0
02888,88750.0
02889,85617.0
02891,90435.0
02892,143534.0
02893,73903.0
02894,
02895,58579.0
02896,109436.0
02898,124083.0
02903,62987.0
02904,64637.0
02905,57126.0
02906,102796.0
02907,49564.0
02908,74341.0
02909,63950.0
02910,85909.0
02911,85803.0
02912,
02914,60838.0
02915,90558.0
02916,96293.0
02917,106772.0
02918,
02919,87811.0
02920,79246.0
02921,135500.0
03031,155125.0
03032,146290.0
03033,165942.0
03034,122356.0
03036,138606.0
03037,126063.0
03038,104306.0
03042,101354.0
03043,96094.0
03044,125774.0
03045,114965.0
03046,134205.0
03047,99038.0
03048,90938.0
03049,156140.0
03051,124973.0
03052,155881.0
