zip,ruca_code,ruca_category
00001,10,Rural
00002,10,Rural
00003,10,Rural
00004,10,Rural
00005,10,Rural
00006,10,Rural
00007,10,Rural
00008,10,Rural
00009,10,Rural
00010,10,Rural
00011,10,Rural
00012,10,Rural
00013,10,Rural
00014,10,Rural
00015,1,Metropolitan
00016,10,Rural
00017,2,Metropolitan
00018,10,Rural
00019,10,Rural
00020,10,Rural
00022,5,Micropolitan
00026,10,Rural
00027,10,Rural
00028,10,Rural
00029,10,Rural
00031,10,Rural
00032,10,Rural
00033,10,Rural
00034,10,Rural
00035,10,Rural
00037,6,Micropolitan
00038,5,Micropolitan
00039,10,Rural
00040,10,Rural
00041,10,Rural
00042,1,Metropolitan
00043,2,Metropolitan
00044,10,Rural
00045,2,Metropolitan
00047,10,Rural
00048,5,Micropolitan
00049,10,Rural
00050,10,Rural
00051,10,Rural
00052,10,Rural
00053,1,Metropolitan
00054,10,Rural
00055,10,Rural
00056,2,Metropolitan
00057,10,Rural
00058,10,Rural
00059,10,Rural
00060,10,Rural
00061,10,Rural
00063,2,Metropolitan
00064,10,Rural
00065,10,Rural
00066,10,Rural
00067,2,Metropolitan
00068,5,Micropolitan
00069,2,Metropolitan
00070,10,Rural
00071,2,Metropolitan
00072,2,Metropolitan
00073,10,Rural
00074,2,Metropolitan
00076,10,Rural
00077,10,Rural
00084,1,Metropolitan
00087,10,Rural
00097,10,Rural
00098,10,Rural
00100,1,Metropolitan
00116,6,Micropolitan
00119,4,Micropolitan
00121,2,Metropolitan
00125,10,Rural
00126,10,Rural
00127,10,Rural
00128,10,Rural
00130,10,Rural
00132,10,Rural
00133,10,Rural
00134,10,Rural
00135,10,Rural
00137,8,Small Town
00138,8,Small Town
00139,10,Rural
00141,3,Metropolitan
00148,10,Rural
00151,10,Rural
00152,3,Metropolitan
00158,1,Metropolitan
00160,10,Rural
00161,10,Rural
00164,10,Rural
00165,10,Rural
00166,10,Rural
00168,7,Small Town
00172,10,Rural
00173,10,Rural
00174,10,Rural
00176,10,Rural
00177,7,Small Town
00179,10,Rural
00180,10,Rural
00181,10,Rural
00182,10,Rural
00183,7,Small Town
00184,7,Small Town
00185,10,Rural
00188,5,Micropolitan
00195,10,Rural
00197,2,Metropolitan
00198,2,Metropolitan
00199,1,Metropolitan
00501,1,Metropolitan
00544,1,Metropolitan
00601,10,Rural
00602,1,Metropolitan
00603,1,Metropolitan
00604,1,Metropolitan
00605,1,Metropolitan
00606,10,Rural
00610,1,Metropolitan
00611,10,Rural
00612,1,Metropolitan
00613,1,Metropolitan
00614,1,Metropolitan
00616,1,Metropolitan
00617,1,Metropolitan
00622,1,Metropolitan
00623,1,Metropolitan
00624,1,Metropolitan
00627,1,Metropolitan
00631,10,Rural
00637,1,Metropolitan
00638,4,Micropolitan
00641,10,Rural
00646,1,Metropolitan
00647,7,Small Town
00650,1,Metropolitan
00652,1,Metropolitan
00653,7,Small Town
00656,1,Metropolitan
00659,1,Metropolitan
00660,1,Metropolitan
00662,1,Metropolitan
00664,7,Small Town
00667,1,Metropolitan
00669,4,Micropolitan
00670,10,Rural
00674,1,Metropolitan
00676,1,Metropolitan
00677,1,Metropolitan
00678,1,Metropolitan
00680,1,Metropolitan
00681,1,Metropolitan
00682,1,Metropolitan
00683,1,Metropolitan
00685,1,Metropolitan
00687,1,Metropolitan
00688,10,Rural
00690,1,Metropolitan
00692,1,Metropolitan
00693,1,Metropolitan
00694,1,Metropolitan
00698,1,Metropolitan
00703,1,Metropolitan
00704,4,Micropolitan
00705,4,Micropolitan
00707,1,Metropolitan
00714,1,Metropolitan
00715,10,Rural
00716,1,Metropolitan
00717,1,Metropolitan
00718,1,Metropolitan
00719,1,Metropolitan
00720,1,Metropolitan
00721,1,Metropolitan
00723,1,Metropolitan
00725,1,Metropolitan
00726,1,Metropolitan
00727,1,Metropolitan
00728,1,Metropolitan
00729,1,Metropolitan
00730,1,Metropolitan
00731,1,Metropolitan
00732,1,Metropolitan
00733,1,Metropolitan
00734,1,Metropolitan
00735,1,Metropolitan
00736,1,Metropolitan
00737,1,Metropolitan
00738,1,Metropolitan
00739,1,Metropolitan
00740,1,Metropolitan
00741,1,Metropolitan
00742,1,Metropolitan
00744,1,Metropolitan
00745,1,Metropolitan
00751,4,Micropolitan
00754,1,Metropolitan
00757,4,Micropolitan
00765,7,Small Town
00766,1,Metropolitan
00767,1,Metropolitan
00769,4,Micropolitan
00771,1,Metropolitan
00772,4,Micropolitan
00773,1,Metropolitan
00775,10,Rural
00777,1,Metropolitan
00778,1,Metropolitan
00780,1,Metropolitan
00782,1,Metropolitan
00783,1,Metropolitan
00784,1,Metropolitan
00785,1,Metropolitan
00786,4,Micropolitan
00791,1,Metropolitan
00792,1,Metropolitan
00794,1,Metropolitan
00795,1,Metropolitan
00801,4,Micropolitan
00802,4,Micropolitan
00803,4,Micropolitan
00804,4,Micropolitan
00805,4,Micropolitan
00820,4,Micropolitan
00821,4,Micropolitan
00822,4,Micropolitan
00823,4,Micropolitan
00824,4,Micropolitan
00830,7,Small Town
00831,7,Small Town
00840,4,Micropolitan
00841,4,Micropolitan
00850,4,Micropolitan
00851,4,Micropolitan
00901,1,Metropolitan
00902,1,Metropolitan
00906,1,Metropolitan
00907,1,Metropolitan
00908,1,Metropolitan
00909,1,Metropolitan
00910,1,Metropolitan
00911,1,Metropolitan
00912,1,Metropolitan
00913,1,Metropolitan
00914,1,Metropolitan
00915,1,Metropolitan
00916,1,Metropolitan
00917,1,Metropolitan
00918,1,Metropolitan
00919,1,Metropolitan
00920,1,Metropolitan
00921,1,Metropolitan
00922,1,Metropolitan
00923,1,Metropolitan
00924,1,Metropolitan
00925,1,Metropolitan
00926,1,Metropolitan
00927,1,Metropolitan
00928,1,Metropolitan
00929,1,Metropolitan
00931,1,Metropolitan
00933,1,Metropolitan
00934,1,Metropolitan
00935,1,Metropolitan
00936,1,Metropolitan
00937,1,Metropolitan
00939,1,Metropolitan
00940,1,Metropolitan
00949,1,Metropolitan
00950,1,Metropolitan
00951,1,Metropolitan
00952,1,Metropolitan
00953,1,Metropolitan
00954,1,Metropolitan
00955,1,Metropolitan
00956,1,Metropolitan
00957,1,Metropolitan
00958,1,Metropolitan
00959,1,Metropolitan
00960,1,Metropolitan
00961,1,Metropolitan
00962,1,Metropolitan
00963,1,Metropolitan
00965,1,Metropolitan
00966,1,Metropolitan
00968,1,Metropolitan
00969,1,Metropolitan
00970,1,Metropolitan
00971,1,Metropolitan
00975,1,Metropolitan
00976,1,Metropolitan
00977,1,Metropolitan
00978,1,Metropolitan
00979,1,Metropolitan
00981,1,Metropolitan
00982,1,Metropolitan
00983,1,Metropolitan
00984,1,Metropolitan
00985,1,Metropolitan
00986,1,Metropolitan
00987,1,Metropolitan
00988,1,Metropolitan
01001,1,Metropolitan
01002,1,Metropolitan
01003,1,Metropolitan
01004,1,Metropolitan
01005,2,Metropolitan
01007,2,Metropolitan
01008,2,Metropolitan
01009,2,Metropolitan
01010,10,Rural
01011,2,Metropolitan
01012,2,Metropolitan
01013,1,Metropolitan
01014,1,Metropolitan
01020,1,Metropolitan
01021,1,Metropolitan
01022,1,Metropolitan
01026,10,Rural
01027,1,Metropolitan
01028,1,Metropolitan
01029,10,Rural
01030,1,Metropolitan
01031,3,Metropolitan
01032,2,Metropolitan
01033,2,Metropolitan
01034,2,Metropolitan
01035,2,Metropolitan
01036,2,Metropolitan
01037,3,Metropolitan
01038,1,Metropolitan
01039,2,Metropolitan
01040,1,Metropolitan
01041,1,Metropolitan
01050,2,Metropolitan
01053,1,Metropolitan
01054,10,Rural
01056,1,Metropolitan
01057,2,Metropolitan
01059,1,Metropolitan
01060,1,Metropolitan
01061,1,Metropolitan
01062,1,Metropolitan
01063,1,Metropolitan
01066,1,Metropolitan
01068,2,Metropolitan
01069,1,Metropolitan
01070,10,Rural
01071,2,Metropolitan
01072,10,Rural
01073,2,Metropolitan
01074,2,Metropolitan
01075,1,Metropolitan
01077,1,Metropolitan
01079,2,Metropolitan
01080,1,Metropolitan
01081,3,Metropolitan
01082,2,Metropolitan
01083,3,Metropolitan
01084,2,Metropolitan
01085,1,Metropolitan
01086,1,Metropolitan
01088,1,Metropolitan
01089,1,Metropolitan
01090,1,Metropolitan
01092,3,Metropolitan
01093,2,Metropolitan
01094,3,Metropolitan
01095,1,Metropolitan
01096,2,Metropolitan
01097,2,Metropolitan
01098,10,Rural
01101,1,Metropolitan
01102,1,Metropolitan
01103,1,Metropolitan
01104,1,Metropolitan
01105,1,Metropolitan
01106,1,Metropolitan
01107,1,Metropolitan
01108,1,Metropolitan
01109,1,Metropolitan
01111,1,Metropolitan
01115,1,Metropolitan
01116,1,Metropolitan
01118,1,Metropolitan
01119,1,Metropolitan
01128,1,Metropolitan
01129,1,Metropolitan
01138,1,Metropolitan
01139,1,Metropolitan
01144,1,Metropolitan
01151,1,Metropolitan
01152,1,Metropolitan
01199,1,Metropolitan
01201,1,Metropolitan
01202,1,Metropolitan
01203,1,Metropolitan
01220,4,Micropolitan
01222,10,Rural
01223,3,Metropolitan
01224,2,Metropolitan
01225,2,Metropolitan
01226,1,Metropolitan
01227,1,Metropolitan
01229,10,Rural
01230,10,Rural
01235,2,Metropolitan
01236,10,Rural
01237,2,Metropolitan
01238,7,Small Town
01240,7,Small Town
01242,7,Small Town
01243,10,Rural
01244,10,Rural
01245,10,Rural
01247,4,Micropolitan
01252,10,Rural
01253,10,Rural
01254,2,Metropolitan
01255,10,Rural
01256,5,Micropolitan
01257,10,Rural
01258,10,Rural
01259,10,Rural
01260,7,Small Town
01262,10,Rural
01263,10,Rural
01264,10,Rural
01266,10,Rural
01267,4,Micropolitan
01270,2,Metropolitan
01301,4,Micropolitan
01302,4,Micropolitan
01330,10,Rural
01331,4,Micropolitan
01337,10,Rural
01338,10,Rural
01339,10,Rural
01340,10,Rural
01341,10,Rural
01342,7,Small Town
01343,5,Micropolitan
01344,6,Micropolitan
01346,10,Rural
01347,6,Micropolitan
01349,6,Micropolitan
01350,10,Rural
01351,6,Micropolitan
01354,10,Rural
01355,10,Rural
01360,6,Micropolitan
01364,4,Micropolitan
01366,3,Metropolitan
01367,10,Rural
01368,3,Metropolitan
01370,10,Rural
01373,7,Small Town
01375,2,Metropolitan
01376,4,Micropolitan
01378,6,Micropolitan
01379,6,Micropolitan
01380,6,Micropolitan
01420,1,Metropolitan
01430,3,Metropolitan
01431,3,Metropolitan
01432,1,Metropolitan
01434,1,Metropolitan
01436,2,Metropolitan
01438,3,Metropolitan
01440,1,Metropolitan
01441,10,Rural
01450,1,Metropolitan
01451,10,Rural
01452,3,Metropolitan
01453,1,Metropolitan
01460,1,Metropolitan
01462,1,Metropolitan
01463,2,Metropolitan
01464,1,Metropolitan
01467,10,Rural
01468,3,Metropolitan
01469,2,Metropolitan
01472,2,Metropolitan
01473,10,Rural
01474,2,Metropolitan
01475,3,Metropolitan
01501,1,Metropolitan
01503,2,Metropolitan
01504,1,Metropolitan
01505,1,Metropolitan
01506,2,Metropolitan
01507,2,Metropolitan
01508,2,Metropolitan
01509,2,Metropolitan
01510,1,Metropolitan
01515,2,Metropolitan
01516,1,Metropolitan
01518,4,Micropolitan
01519,1,Metropolitan
01520,1,Metropolitan
01521,3,Metropolitan
01522,1,Metropolitan
01523,1,Metropolitan
01524,1,Metropolitan
01525,1,Metropolitan
01526,1,Metropolitan
01527,1,Metropolitan
01529,1,Metropolitan
01531,3,Metropolitan
01532,1,Metropolitan
01534,1,Metropolitan
01535,2,Metropolitan
01536,1,Metropolitan
01537,1,Metropolitan
01538,1,Metropolitan
01540,1,Metropolitan
01541,2,Metropolitan
01542,1,Metropolitan
01543,2,Metropolitan
01545,1,Metropolitan
01546,1,Metropolitan
01550,4,Micropolitan
01560,1,Metropolitan
01561,1,Metropolitan
01562,2,Metropolitan
01564,2,Metropolitan
01566,4,Micropolitan
01568,2,Metropolitan
01569,1,Metropolitan
01570,1,Metropolitan
01571,1,Metropolitan
01581,1,Metropolitan
01583,1,Metropolitan
01585,10,Rural
01586,1,Metropolitan
01588,1,Metropolitan
01590,1,Metropolitan
01601,1,Metropolitan
01602,1,Metropolitan
01603,1,Metropolitan
01604,1,Metropolitan
01605,1,Metropolitan
01606,1,Metropolitan
01607,1,Metropolitan
01608,1,Metropolitan
01609,1,Metropolitan
01610,1,Metropolitan
01611,1,Metropolitan
01612,2,Metropolitan
01613,1,Metropolitan
01614,1,Metropolitan
01615,1,Metropolitan
01653,1,Metropolitan
01655,1,Metropolitan
01701,1,Metropolitan
01702,1,Metropolitan
01703,1,Metropolitan
01704,1,Metropolitan
01705,1,Metropolitan
01718,1,Metropolitan
01719,1,Metropolitan
01720,1,Metropolitan
01721,1,Metropolitan
01730,1,Metropolitan
01731,1,Metropolitan
01740,2,Metropolitan
01741,2,Metropolitan
01742,1,Metropolitan
01745,1,Metropolitan
01746,1,Metropolitan
01747,1,Metropolitan
01748,1,Metropolitan
01749,1,Metropolitan
01752,1,Metropolitan
01754,1,Metropolitan
01756,2,Metropolitan
01757,1,Metropolitan
01760,1,Metropolitan
01770,2,Metropolitan
01772,1,Metropolitan
01773,1,Metropolitan
01775,1,Metropolitan
01776,1,Metropolitan
01778,1,Metropolitan
01784,1,Metropolitan
01801,1,Metropolitan
01803,1,Metropolitan
01805,1,Metropolitan
01810,1,Metropolitan
01812,1,Metropolitan
01813,1,Metropolitan
01815,1,Metropolitan
01821,1,Metropolitan
01822,1,Metropolitan
01824,1,Metropolitan
01826,1,Metropolitan
01827,2,Metropolitan
01830,1,Metropolitan
01831,1,Metropolitan
01832,1,Metropolitan
01833,1,Metropolitan
01834,1,Metropolitan
01835,1,Metropolitan
01840,1,Metropolitan
01841,1,Metropolitan
01842,1,Metropolitan
01843,1,Metropolitan
01844,1,Metropolitan
01845,1,Metropolitan
01850,1,Metropolitan
01851,1,Metropolitan
01852,1,Metropolitan
01853,1,Metropolitan
01854,1,Metropolitan
01860,1,Metropolitan
01862,1,Metropolitan
01863,1,Metropolitan
01864,1,Metropolitan
01865,1,Metropolitan
01866,1,Metropolitan
01867,1,Metropolitan
01876,1,Metropolitan
01879,1,Metropolitan
01880,1,Metropolitan
01885,2,Metropolitan
01886,1,Metropolitan
01887,1,Metropolitan
01888,1,Metropolitan
01889,1,Metropolitan
01890,1,Metropolitan
01899,1,Metropolitan
01901,1,Metropolitan
01902,1,Metropolitan
01903,1,Metropolitan
01904,1,Metropolitan
01905,1,Metropolitan
01906,1,Metropolitan
01907,1,Metropolitan
01908,1,Metropolitan
01910,1,Metropolitan
01913,1,Metropolitan
01915,1,Metropolitan
01921,2,Metropolitan
01922,2,Metropolitan
01923,1,Metropolitan
01929,2,Metropolitan
01930,1,Metropolitan
01931,1,Metropolitan
01936,1,Metropolitan
01937,1,Metropolitan
01938,2,Metropolitan
01940,1,Metropolitan
01944,1,Metropolitan
01945,1,Metropolitan
01949,1,Metropolitan
01950,1,Metropolitan
01951,2,Metropolitan
01952,1,Metropolitan
01960,1,Metropolitan
01961,1,Metropolitan
01965,1,Metropolitan
01966,1,Metropolitan
01969,2,Metropolitan
01970,1,Metropolitan
01971,1,Metropolitan
01982,1,Metropolitan
01983,1,Metropolitan
01984,1,Metropolitan
01985,2,Metropolitan
02018,1,Metropolitan
02019,1,Metropolitan
02020,1,Metropolitan
02021,1,Metropolitan
02025,1,Metropolitan
02026,1,Metropolitan
02027,1,Metropolitan
02030,1,Metropolitan
02032,1,Metropolitan
02035,1,Metropolitan
02038,1,Metropolitan
02040,1,Metropolitan
02041,1,Metropolitan
02043,1,Metropolitan
02044,1,Metropolitan
02045,1,Metropolitan
02047,1,Metropolitan
02048,1,Metropolitan
02050,1,Metropolitan
02051,1,Metropolitan
02052,1,Metropolitan
02053,1,Metropolitan
02054,1,Metropolitan
02055,1,Metropolitan
02056,1,Metropolitan
02059,1,Metropolitan
02060,1,Metropolitan
02061,1,Metropolitan
02062,1,Metropolitan
02065,1,Metropolitan
02066,1,Metropolitan
02067,1,Metropolitan
02070,2,Metropolitan
02071,1,Metropolitan
02072,1,Metropolitan
02081,1,Metropolitan
02090,1,Metropolitan
02093,1,Metropolitan
02108,1,Metropolitan
02109,1,Metropolitan
02110,1,Metropolitan
02111,1,Metropolitan
02112,1,Metropolitan
02113,1,Metropolitan
02114,1,Metropolitan
02115,1,Metropolitan
02116,1,Metropolitan
02117,1,Metropolitan
02118,1,Metropolitan
02119,1,Metropolitan
02120,1,Metropolitan
02121,1,Metropolitan
02122,1,Metropolitan
02123,1,Metropolitan
02124,1,Metropolitan
02125,1,Metropolitan
02126,1,Metropolitan
02127,1,Metropolitan
02128,1,Metropolitan
02129,1,Metropolitan
02130,1,Metropolitan
02131,1,Metropolitan
02132,1,Metropolitan
02133,1,Metropolitan
02134,1,Metropolitan
02135,1,Metropolitan
02136,1,Metropolitan
02137,1,Metropolitan
02138,1,Metropolitan
02139,1,Metropolitan
02140,1,Metropolitan
02141,1,Metropolitan
02142,1,Metropolitan
02143,1,Metropolitan
02144,1,Metropolitan
02145,1,Metropolitan
02148,1,Metropolitan
02149,1,Metropolitan
02150,1,Metropolitan
02151,1,Metropolitan
02152,1,Metropolitan
02153,1,Metropolitan
02155,1,Metropolitan
02156,1,Metropolitan
02163,1,Metropolitan
02169,1,Metropolitan
02170,1,Metropolitan
02171,1,Metropolitan
02176,1,Metropolitan
02180,1,Metropolitan
02184,1,Metropolitan
02185,1,Metropolitan
02186,1,Metropolitan
02187,1,Metropolitan
02188,1,Metropolitan
02189,1,Metropolitan
02190,1,Metropolitan
02191,1,Metropolitan
02196,1,Metropolitan
02199,1,Metropolitan
02201,1,Metropolitan
02203,1,Metropolitan
02204,1,Metropolitan
02205,1,Metropolitan
02206,1,Metropolitan
02210,1,Metropolitan
02211,1,Metropolitan
02212,1,Metropolitan
02215,1,Metropolitan
02217,1,Metropolitan
02222,1,Metropolitan
02238,1,Metropolitan
02241,1,Metropolitan
02269,1,Metropolitan
02283,1,Metropolitan
02284,1,Metropolitan
02293,1,Metropolitan
02297,1,Metropolitan
02298,1,Metropolitan
02301,1,Metropolitan
02302,1,Metropolitan
02303,1,Metropolitan
02304,1,Metropolitan
02305,1,Metropolitan
02322,1,Metropolitan
02324,1,Metropolitan
02325,1,Metropolitan
02327,1,Metropolitan
02330,1,Metropolitan
02331,1,Metropolitan
02332,1,Metropolitan
02333,1,Metropolitan
02334,1,Metropolitan
